Sample_name,Well_number,X_mosaic,Y_mosaic,Object_number,Cell_class,CentroidX,CentroidY,CentroidZ,Volume,Compactness,Elongation
dataset_0120,1,1,1,99,lectine,601.3915,331.0283,86.6651,584.1872,0.2084,1.418
dataset_0120,1,1,1,100,none,540.3333,376.6222,85,124.002,0.1201,1.5966
dataset_0120,1,1,1,101,lectine,383.8405,471.3755,88.2286,2832.7568,0.114,1.7949
dataset_0120,1,1,1,102,bodipy,498.8297,543.8514,86.8784,1019.572,0.1843,1.7467
dataset_0120,1,1,1,103,none,550.125,617.9115,86.5,529.0752,0.2215,1.9598
dataset_0120,1,1,1,104,cd68,592.5067,704.0177,87.3965,3273.6528,0.09055,1.3996
dataset_0120,1,1,1,105,lectine,763.3784,772.027,85,101.9572,0.09919,3.5077
dataset_0120,1,1,1,106,lectine,510.5736,183.3477,88.7018,2171.4128,0.1351,1.4727
dataset_0120,1,1,1,107,bodipy,670.1283,84.8097,89.5863,1245.5312,0.2038,2.0637
dataset_0120,1,1,1,108,lectine,422.5668,220.9378,88.8249,1195.9304,0.1464,1.178
dataset_0120,1,1,1,109,lectine,452.2032,286.2921,89.5714,868.014,0.2405,1.8334
dataset_0120,1,1,1,110,none,599.374,297.6183,89.5802,721.9672,0.2084,1.6412
dataset_0120,1,1,1,111,lectine,397.5323,425.6452,88.5161,170.8472,0.2516,1.1749
dataset_0120,1,1,1,112,none,399.8333,454.9,88,82.668,0.1494,1.9904
dataset_0120,1,1,1,113,lectine,430.6695,569.3935,91.555,3585.0356,0.08594,2.3465
dataset_0120,1,1,1,114,none,625.5348,725.1003,90.1421,989.2604,0.2211,1.7436
dataset_0120,1,1,1,115,lectine,647.2812,787.8853,91.5532,3626.3696,0.07325,1.7129
dataset_0120,1,1,1,116,bodipy,645.1625,102.0625,89.525,220.448,0.1641,1.3728
dataset_0120,1,1,1,117,lectine,563.9669,298.9423,95.4159,16748.5368,0.02656,2.7074
dataset_0120,1,1,1,118,cd68,513.2658,329.3418,89.5316,217.6924,0.1859,1.3097
dataset_0120,1,1,1,119,lectine,551.5631,340.058,91.1331,807.3908,0.2802,2.6348
dataset_0120,1,1,1,120,lectine,445.3282,399.6224,91.1412,1620.2928,0.06645,1.0772
dataset_0120,1,1,1,121,lectine,395.3422,514.544,93.4716,7385.008,0.05249,1.8698
dataset_0120,1,1,1,122,none,630.8359,697.9046,91.0382,721.9672,0.2657,2.3694
dataset_0120,1,1,1,123,none,636.8647,755.3168,91.9175,2504.8404,0.1554,1.4999
dataset_0120,1,1,1,124,none,466.9565,244.6377,90.5072,190.1364,0.2824,1.3797
dataset_0120,1,1,1,125,none,511.4521,314.2603,90.4795,201.1588,0.2018,1.2707
dataset_0120,1,1,1,126,lectine,480.8712,349.0585,92.5644,1176.6412,0.2594,2.3876
dataset_0120,1,1,1,127,lectine,554.3054,350.9082,91.9256,1741.5392,0.08564,1.1919
dataset_0120,1,1,1,128,lectine,415.7677,415.8559,92.7269,1281.354,0.2296,2.1684
dataset_0120,1,1,1,129,lectine,397.0485,483.6121,90.9273,454.674,0.2068,1.1509
dataset_0120,1,1,1,130,none,567.22,507.83,91,275.56,0.2472,1.737
dataset_0120,1,1,1,131,lectine,595.7973,519.1486,90.527,203.9144,0.191,1.4988
dataset_0120,1,1,1,132,lectine,551.268,526.0951,93.134,1419.134,0.2488,2.6232
dataset_0120,1,1,1,133,none,386.5312,531.3984,92.6125,1016.8164,0.2678,2.726
dataset_0120,1,1,1,134,none,526.0159,38.3777,93.7734,1386.0668,0.1629,1.6201
dataset_0120,1,1,1,135,lectine,743.5528,135.6612,93.5095,1016.8164,0.1624,1.2509
dataset_0120,1,1,1,136,lectine,478.1511,574.2978,99.7904,34566.2464,0.0133,2.5641
dataset_0120,1,1,1,137,none,655.067,690.2536,93.7033,575.9204,0.09597,2.3197
dataset_0120,1,1,1,138,lectine,764.8885,169.5542,94.8142,890.0588,0.2052,1.683
dataset_0120,1,1,1,139,none,535.0943,204.5,93.9623,292.0936,0.3619,2.2127
dataset_0120,1,1,1,140,lectine,578.3582,328.8507,93.5075,184.6252,0.2796,1.3061
dataset_0120,1,1,1,141,lectine,432.1549,550.2761,94.4451,978.238,0.2598,1.6115
dataset_0120,1,1,1,142,lectine,662.2746,782.9171,94.0622,531.8308,0.1879,1.3394
dataset_0120,1,1,1,143,lectine,706.7233,76.8712,96.4164,1005.794,0.2703,2.5911
dataset_0120,1,1,1,144,lectine,608.345,126.1028,97.2404,1501.802,0.2019,1.5428
dataset_0120,1,1,1,145,lectine,462.8098,366.8787,96.8492,840.458,0.2181,2.1068
dataset_0120,1,1,1,146,lectine,424.9576,460.5885,98.9942,7084.6476,0.03841,1.2476
dataset_0120,1,1,1,147,none,742.2447,524.33,96.9475,1678.1604,0.1395,1.3711
dataset_0120,1,1,1,148,lectine,567.9264,543.3191,100.2364,3031.16,0.07919,2.751
dataset_0120,1,1,1,149,bodipy,560.3602,555.7702,96.0621,443.6516,0.2409,1.5744
dataset_0120,1,1,1,150,lectine,591.993,144.0708,98.2072,3152.4064,0.1188,1.3947
dataset_0120,1,1,1,151,lectine,574.6545,630.6355,101.8025,21763.7288,0.01547,2.1144
dataset_0120,1,1,1,152,none,766.6543,741.5926,96.5185,223.2036,0.2384,1.0565
dataset_0120,1,1,1,153,lectine,594.5034,116.7885,98.9678,1198.686,0.2349,1.7617
dataset_0120,1,1,1,154,lectine,740.1649,574.4961,101.2481,1788.3844,0.2343,3.4901
dataset_0120,1,1,1,155,lectine,665.1818,766.8182,97.5,181.8696,0.2713,1.0434
dataset_0120,1,1,1,156,lectine,696.5581,208.4703,100.5071,972.7268,0.2137,2.2602
dataset_0120,1,1,1,157,cd34,534.2492,304.5045,100.0661,917.6148,0.225,2.1066
dataset_0120,1,1,1,158,lectine,515.9835,398.1376,101.3421,2843.7792,0.06348,2.6689
dataset_0120,1,1,1,159,lectine,634.5217,422.7043,99,316.894,0.2049,1.7769
